Zone ID,Threat Score,Patrol Priority,Recommended Patrol Frequency
ZONE_B02,49.136463,Medium,Bi-weekly (3-4 times per week)
ZONE_B01,45.611275,Medium,Bi-weekly (3-4 times per week)
ZONE_A02,21.819561,Low,Weekly (Routine checks)
ZONE_A01,17.711927,Low,Weekly (Routine checks)
ZONE_B05,13.406314,Low,Weekly (Routine checks)
ZONE_A04,8.981386,Low,Weekly (Routine checks)
ZONE_D02,8.83182,Low,Weekly (Routine checks)
ZONE_D04,8.762318,Low,Weekly (Routine checks)
ZONE_E02,7.6622066,Low,Weekly (Routine checks)
ZONE_D01,7.2493696,Low,Weekly (Routine checks)
ZONE_E01,6.675715,Low,Weekly (Routine checks)
ZONE_B04,6.5391555,Low,Weekly (Routine checks)
ZONE_B03,6.201756,Low,Weekly (Routine checks)
ZONE_C01,5.5372252,Low,Weekly (Routine checks)
ZONE_A05,5.067063,Low,Weekly (Routine checks)
ZONE_A03,4.8326993,Low,Weekly (Routine checks)
ZONE_C02,4.106383,Low,Weekly (Routine checks)
ZONE_D05,3.8438175,Low,Weekly (Routine checks)
ZONE_E03,3.2432742,Low,Weekly (Routine checks)
ZONE_E04,3.229693,Low,Weekly (Routine checks)
ZONE_C05,3.044402,Low,Weekly (Routine checks)
ZONE_C04,2.5703032,Low,Weekly (Routine checks)
ZONE_D03,2.5158024,Low,Weekly (Routine checks)
ZONE_E05,2.4362116,Low,Weekly (Routine checks)
ZONE_C03,0.10222858,Low,Weekly (Routine checks)
